_id,alias
64cc2db4830ba29148da4c3b,"Wright, Richard Bruce"
64cc2db4830ba29148da4c3f,"Tan, Amy"
64cc2db4830ba29148da4c3f,Amy Tan
64cc2db4830ba29148da4c40,Scott Turow
64cc2db4830ba29148da4c40,"Turow, Scott"
64cc2db4830ba29148da4c46,"Canfield, Jack"
64cc2db4830ba29148da4c46,Jack Canfield
64cc2db4830ba29148da4c46,"Canfield , Jack "
64cc2db4830ba29148da4c47,"Hansen, Mark Victor"
64cc2db4830ba29148da4c47,Mark Victor Hansen
64cc2db4830ba29148da4c47,"Hansen , Mark Victor "
64cc2db4830ba29148da4c4a,"Estleman, Loren D."
64cc2db4830ba29148da4c4a,Loren D. Estleman
64cc2db4830ba29148da4c4b,"Hendrickson, Robert"
64cc2db4830ba29148da4c4d,"Grisham, John"
64cc2db4830ba29148da4c4d,John Grisham
64cc2db4830ba29148da4c4d,"GRISHAM, JOHN"
64cc2db4830ba29148da4c4d,"GRISHAM, John"
64cc2db4830ba29148da4c4f,"Onion, The"
64cc2db4830ba29148da4c4f,The Onion
64cc2db4830ba29148da4c54,"Olsen, Mary-Kate & Ashley"
64cc2db4830ba29148da4c54,"Olsen, Mary-kate & Ashley"
64cc2db4830ba29148da4c54,Mary-Kate & Ashley Olsen
64cc2db4830ba29148da4c54,Mary-kate & Ashley Olsen
64cc2db4830ba29148da4c56,"Duey, Kathleen"
64cc2db4830ba29148da4c56,Kathleen Duey
64cc2db4830ba29148da4c5a,Michael Crichton
64cc2db4830ba29148da4c5a,"Crichton, Michael"
64cc2db4830ba29148da4c5b,"Lewis, C.S."
64cc2db4830ba29148da4c5b,"Lewis, C. S."
64cc2db4830ba29148da4c5b,C. S. Lewis
64cc2db4830ba29148da4c5b,C.S. Lewis
64cc2db4830ba29148da4c5b,"Lewis, C S"
64cc2db4830ba29148da4c5b,"Lewis, C S."
64cc2db4830ba29148da4c5b,"Lewis, C. S"
64cc2db4830ba29148da4c5b,"Lewis, C.s"
64cc2db4830ba29148da4c5f,"Cooney, Eleanor"
64cc2db4830ba29148da4c60,"Altieri, Daniel"
64cc2db4830ba29148da4c62,"Patterson, Richard North"
64cc2db4830ba29148da4c62,Richard North Patterson
64cc2db4830ba29148da4c64,Harper Lee
64cc2db4830ba29148da4c64,"Lee, Harper"
64cc2db4830ba29148da4c66,"Kingsolver, Barbara"
64cc2db4830ba29148da4c66,Barbara Kingsolver
64cc2db4830ba29148da4c68,"Austen, Jane"
64cc2db4830ba29148da4c68,Jane Austen
64cc2db4830ba29148da4c6b,"Koontz, Dean"
64cc2db4830ba29148da4c6b,Dean Koontz
64cc2db4830ba29148da4c6c,"Clark, Mary Higgins"
64cc2db4830ba29148da4c6c,Mary Higgins Clark
64cc2db4830ba29148da4c6c,"Higgins Clark, Mary"
64cc2db4830ba29148da4c6c,"clark, mary higgins"
64cc2db4830ba29148da4c6c,"Higgins-Clark, Mary"
64cc2db4830ba29148da4c6c,mary Higgins clark
64cc2db4830ba29148da4c6d,"Cornwell, Patricia"
64cc2db4830ba29148da4c6d,Patricia Cornwell
64cc2db4830ba29148da4c6e,"Robb, J. D."
64cc2db4830ba29148da4c6e,J.D. Robb
64cc2db4830ba29148da4c6e,J. D. Robb
64cc2db4830ba29148da4c6e,"Robb, J.D."
64cc2db4830ba29148da4c6e,J.d. Robb
64cc2db4830ba29148da4c6f,"Binchy, Maeve"
64cc2db4830ba29148da4c6f,maeve-binchy
64cc2db4830ba29148da4c6f,Maeve Binchy
64cc2db4830ba29148da4c6f,"BINCHY, Maeve"
64cc2db4830ba29148da4c71,"LaHaye, Tim"
64cc2db4830ba29148da4c71,Tim LaHaye
64cc2db4830ba29148da4c71,"Lahaye, Tim"
64cc2db4830ba29148da4c71,Tim lahaye
64cc2db4830ba29148da4c71,TimLaHaye
64cc2db4830ba29148da4c71,Tim Lahaye
64cc2db4830ba29148da4c71,"LaHaye,  Tim"
64cc2db4830ba29148da4c72,"Jenkins, Jerry B."
64cc2db4830ba29148da4c72,Jerry B. Jenkins
64cc2db4830ba29148da4c72,jerry b. jenkins
64cc2db4830ba29148da4c72,"Jenkins, Jerry B"
64cc2db4830ba29148da4c74,"Warren, Robert Penn"
64cc2db4830ba29148da4c74,Robert Penn Warren
64cc2db4830ba29148da4c7e,"McMurtry, Larry"
64cc2db4830ba29148da4c7e,Larry McMurtry
64cc2db4830ba29148da4c81,Carl Sagan
64cc2db4830ba29148da4c81,"Sagan, Carl"
64cc2db4830ba29148da4c81,CARL SAGAN
64cc2db4830ba29148da4c83,"Tyler, Anne"
64cc2db4830ba29148da4c83,"Tyler, Anne."
64cc2db4830ba29148da4c83,Anne Tyler
64cc2db4830ba29148da4c84,Joseph Conrad
64cc2db4830ba29148da4c84,"Conrad, Joseph"
64cc2db4830ba29148da4c84,"CONRAD, JOSEPH"
64cc2db4830ba29148da4c85,"Chopra, Deepak"
64cc2db4830ba29148da4c85,Deepak Chopra
64cc2db4830ba29148da4c87,Thomas Hardy
64cc2db4830ba29148da4c87,"Hardy, Thomas"
64cc2db4830ba29148da4c87,THOMAS HARDY
64cc2db4830ba29148da4c87,thomas hardy
64cc2db4830ba29148da4c8a,"Hoff, Benjamin"
64cc2db4830ba29148da4c8a,Benjamin Hoff
64cc2db4830ba29148da4c8d,"Heinlein, Robert A."
64cc2db4830ba29148da4c8d,Robert A. Heinlein
64cc2db4830ba29148da4c8d,Robert  A Heinlein
64cc2db4830ba29148da4c8d,"Heinlein, Robert A"
64cc2db4830ba29148da4c8e,"Pullman, Philip"
64cc2db4830ba29148da4c8e,Philip Pullman
64cc2db4830ba29148da4c8f,"Sewell, Anna"
64cc2db4830ba29148da4c8f,Anna Sewell
64cc2db4830ba29148da4c92,P. J. O'Rourke
64cc2db4830ba29148da4c92,"O'Rourke, P. J."
64cc2db4830ba29148da4c92,P.J. O'Rourke
64cc2db4830ba29148da4c92,"O'Rourke, P.J."
64cc2db4830ba29148da4c92,"Orourke, P J"
64cc2db4830ba29148da4c92,"O'Rourke, P.  J."
64cc2db4830ba29148da4c92,P. J. O'rourke
64cc2db4830ba29148da4c96,"Quayle, Dan"
64cc2db4830ba29148da4c9a,Louis L'Amour
64cc2db4830ba29148da4c9a,"L'Amour, Louis"
64cc2db4830ba29148da4c9a,"L Amour, Louis"
64cc2db4830ba29148da4c9a,"Lamour, Louis"
64cc2db4830ba29148da4c9a,Louis L'amour
