_id,key,value
0002005018,edition,1st
0002005018,dimensions,"Height: 11.11 Inches, Length: 6.11 Inches, Weight: 1 Pounds, Width: 1.11 Inches"
0002005018,isbn13,9780002005012
0002005018,msrp,0.00
0002005018,isbn,0002005018
0002005018,isbn10,0002005018
0002244705,edition,American First
0002244705,dimensions,"Height: 1.2598425184 Inches, Length: 9.2125984158 Inches, Weight: 1.24120253506 Pounds, Width: 6.299212592 Inches"
0002244705,isbn13,9780002244701
0002244705,msrp,6.99
0002244705,isbn,0002244705
0002244705,isbn10,0002244705
0002251000,edition,1
0002251000,dimensions,"Height: 11.5 Inches, Length: 0.75 Inches, Weight: 1.85 Pounds, Width: 9 Inches"
0002251000,isbn13,9780002251006
0002251000,msrp,1.99
0002251000,isbn,0002251000
0002251000,isbn10,0002251000
0002253402,dimensions,Weight: 0.9810570659 Pounds
0002253402,isbn13,9780002253406
0002253402,msrp,0.00
0002253402,isbn,0002253402
0002253402,isbn10,0002253402
0002554062,edition,1st
0002554062,dimensions,Weight: 1.7 Pounds
0002554062,isbn13,9780002554060
0002554062,msrp,0.00
0002554062,isbn,0002554062
0002554062,isbn10,0002554062
0002554119,edition,1st
0002554119,dimensions,"Height: 7.79 Inches, Length: 5.43 Inches, Weight: 0.65 Pounds, Width: 0.68 Inches"
0002554119,isbn13,9780002554114
0002554119,msrp,26
0002554119,isbn,0002554119
0002554119,isbn10,0002554119
0002554151,edition,1st
0002554151,dimensions,"Height: 1.08 Inches, Length: 9.51 Inches, Weight: 0.99 Pounds, Width: 6.44 Inches"
0002554151,isbn13,9780002554152
0002554151,msrp,21.5
0002554151,isbn,0002554151
0002554151,isbn10,0002554151
0002558661,dimensions,Weight: 0.00220462262 Pounds
0002558661,isbn13,9780002558662
0002558661,msrp,0.00
0002558661,isbn,0002558661
0002558661,isbn10,0002558661
0004127382,dimensions,"Height: 6.5 Inches, Length: 5.25 Inches, Weight: 0.41667367518 Pounds, Width: 0.5 Inches"
0004127382,isbn13,9780004127385
0004127382,msrp,9
0004127382,isbn,0004127382
0004127382,isbn10,0004127382
0004709934,edition,3
0004709934,dimensions,"Height: 4.75 Inches, Length: 3.25 Inches, Weight: 0.18959754532 Pounds, Width: 0.75 Inches"
0004709934,isbn13,9780004709932
0004709934,msrp,1.99
0004709934,isbn,0004709934
0004709934,isbn10,0004709934
0004724097,edition,3rd
0004724097,dimensions,"Height: 1.29 Inches, Length: 4.57 Inches, Weight: 0.3637627323 Pounds, Width: 3.19 Inches"
0004724097,isbn13,9780004724096
0004724097,msrp,1.99
0004724097,isbn,0004724097
0004724097,isbn10,0004724097
0004724119,edition,5
0004724119,dimensions,"Height: 4.5 Inches, Length: 1.5 Inches, Weight: 0.3527396192 Pounds, Width: 3.25 Inches"
0004724119,isbn13,9780004724119
0004724119,msrp,6.95
0004724119,isbn,0004724119
0004724119,isbn10,0004724119
0006352537,isbn13,9780006352532
0006352537,msrp,0.00
0006352537,isbn,0006352537
0006352537,isbn10,0006352537
0007102909,dimensions,"Height: 8.4 Inches, Length: 6.32 Inches, Weight: 0.81130112416 Pounds, Width: 0.56 Inches"
0007102909,isbn13,9780007102907
0007102909,msrp,1.99
0007102909,isbn,0007102909
0007102909,isbn10,0007102909
000710698X,dimensions,"Height: 9.14 Inches, Length: 6.28 Inches, Weight: 0.79807338844 Pounds, Width: 0.8 Inches"
000710698X,isbn13,9780007106981
000710698X,msrp,14.95
000710698X,isbn,000710698X
000710698X,isbn10,000710698X
0007170734,edition,Reprint
0007170734,dimensions,"Height: 8.1 Inches, Length: 5.4 Inches, Weight: 0.91712300992 Pounds, Width: 0.83 Inches"
0007170734,isbn13,9780007170739
0007170734,msrp,22.95
0007170734,isbn,0007170734
0007170734,isbn10,0007170734
0020198817,dimensions,"Height: 8.25 Inches, Length: 5.5 Inches, Weight: 0.62611282408 Pounds, Width: 0.75 Inches"
0020198817,isbn13,9780020198819
0020198817,msrp,9
0020198817,isbn,0020198817
0020198817,isbn10,0020198817
0020288905,dimensions,"Height: 0.53 Inches, Length: 8.7 Inches, Weight: 0.59083886216 Pounds, Width: 5.64 Inches"
0020288905,isbn13,9780020288909
0020288905,msrp,15.95
0020288905,isbn,0020288905
0020288905,isbn10,0020288905
0020322305,edition,1
0020322305,dimensions,"Height: 8.18 Inches, Length: 5.74 Inches, Weight: 0.69225150268 Pounds, Width: 0.64 Inches"
0020322305,isbn13,9780020322306
0020322305,msrp,12.17
0020322305,isbn,0020322305
0020322305,isbn10,0020322305
0020383142,edition,Illustrated
0020383142,dimensions,"Height: 0.72 Inches, Length: 7.98 Inches, Weight: 0.7054792384 Pounds, Width: 5.44 Inches"
0020383142,isbn13,9780020383147
0020383142,msrp,15
0020383142,isbn,0020383142
0020383142,isbn10,0020383142
0020821255,edition,Revised edition
0020821255,dimensions,"Height: 9.25 Inches, Length: 7.5 Inches, Weight: 1.49032489112 Pounds, Width: 1.25 Inches"
0020821255,isbn13,9780020821250
0020821255,msrp,1.99
0020821255,isbn,0020821255
0020821255,isbn10,0020821255
0023193913,edition,1
0023193913,dimensions,"Height: 9.2 Inches, Length: 7 Inches, Weight: 1.47048328754 Pounds, Width: 1 Inches"
0023193913,isbn13,9780023193910
0023193913,msrp,110.4
0023193913,isbn,0023193913
0023193913,isbn10,0023193913
002350580X,edition,Subsequent
002350580X,dimensions,Weight: 1.543235834 Pounds
002350580X,isbn13,9780023505805
002350580X,msrp,0.00
002350580X,isbn,002350580X
002350580X,isbn10,002350580X
0023564105,edition,5th
0023564105,dimensions,Weight: 1.85 Pounds
0023564105,isbn13,9780023564109
0023564105,msrp,0.00
0023564105,isbn,0023564105
0023564105,isbn10,0023564105
0023960507,edition,Facsimile
0023960507,dimensions,"Height: 10 Inches, Length: 6.78 Inches, Weight: 1.47489253278 Pounds, Width: 0.82 Inches"
0023960507,isbn13,9780023960505
0023960507,msrp,61
0023960507,isbn,0023960507
0023960507,isbn10,0023960507
0024277800,edition,1
0024277800,dimensions,"Height: 0.71 Inches, Length: 9.2 Inches, Width: 6.05 Inches"
0024277800,isbn13,9780024277800
0024277800,msrp,133.32
0024277800,isbn,0024277800
0024277800,isbn10,0024277800
0026301253,edition,1
0026301253,dimensions,"Height: 9.539351 Inches, Length: 7.799197 Inches, Weight: 1.72842413408 Pounds, Width: 0.999998 Inches"
0026301253,isbn13,9780026301251
0026301253,msrp,29.95
0026301253,isbn,0026301253
0026301253,isbn10,0026301253
0027153800,edition,Library Binding
0027153800,dimensions,"Height: 10.5 Inches, Length: 8.5 Inches, Weight: 0.83555197298 Pounds, Width: 0.5 Inches"
0027153800,isbn13,9780027153804
0027153800,msrp,0.00
0027153800,isbn,0027153800
0027153800,isbn10,0027153800
0027255506,edition,1st Amer. ed
0027255506,dimensions,Weight: 0.9 Pounds
0027255506,isbn13,9780027255508
0027255506,msrp,14.95
0027255506,isbn,0027255506
0027255506,isbn10,0027255506
0027369420,edition,1st American ed
0027369420,dimensions,"Height: 10.34 Inches, Length: 0.45 Inches, Weight: 0.12 Pounds, Width: 7.96 Inches"
0027369420,isbn13,9780027369427
0027369420,msrp,13.95
0027369420,isbn,0027369420
0027369420,isbn10,0027369420
0027582000,edition,Deluxe
