_id,genre
055325572X,Westerns
0688168396,Young men--New York (State)--New York--Biography
0688168396,Gay men--Family relationships
0688168396,Young men
0688168396,813/.54 B
0688168396,"Authors, American--Family relationships"
0688168396,Uncles
0688168396,Gay men--United States--Family relationships
0688168396,"FamilyWhite, Edmund , 1940-"
0688168396,"Authors, American--20th century--Family relationships"
0688168396,"Fleming, Keith"
0688168396,Uncles--New York (State)--New York--Biography
0688168396,PS3573.H463 Z68 2000
0786926813,Science Fiction & Fantasy
0878337237,SB411.65.O55 W45 1990
0878337237,635.9/33372
0878337237,Rose culture
0878337237,Old roses
0878337237,Flower arrangement--Southern States
0878337237,Flower arrangement
0878337237,Rosaceae
0878337237,Old roses--Southern States
0878337237,Rose culture--Southern States
0802110312,813/.54
0802110312,PR9499.3.M77 M5 1988
0966669126,811/.54
0966669126,PS3561.O87 D86 1999
1561840181,Magic
1561840181,Occultism
1561840181,Spiritualism
0375800395,Schools
0375800395,Fiction
0375800395,Kindergarten
0375800395,Valentine's Day
0375800395,Juvenile fiction
0375800395,Valentines
9780671449018,Children's Fiction
9780671449018,Humorous Stories
0394751221,Sex
0394751221,Pleasure
0394751221,Sex customs--History
067158104X,Social Science Fiction
067158104X,Teen Fiction - Science Fiction
0195098293,Motion pictures--Philosophy
0195098293,Television--Philosophy
0195098293,Television broadcasting--Social aspects
0195098293,Visual communication
0195098293,PN1992.6 .S73 1998
0195098293,302.23/45
0553111248,Near-death experiences--Fiction
0553111248,PS3573.I45652 P3 2001
0553111248,813/.54
0553111248,Near-death experiences
1557664951,Developmental Biology
1557664951,Critical periods (Biology)
1557664951,QP363.5 .C75 2001
1557664951,612.8
1557664951,Developmental neurobiology
1557664951,Neurobiology
1841952338,813.54
1841952338,Publishers and publishing--Fiction
1841952338,Self-help techniques--Fiction
1841952338,Publishers and publishing
1841952338,Self-help techniques
0879825049,Coasts
0879825049,Pictorial Works
0002005018,Women Teachers
0002005018,Sisters
0002005018,Actresses
0002005018,Young Women
0439222737,Television Actors And Actresses
0195061659,Prometheus (Greek deity)--Drama
0195061659,Prometheus
0195061659,Prometheus (Greek deity)
0195061659,882/.01
0195061659,PA3827.P8 S3 1989
0374113084,"Favorites, Royal--France--Biography"
0374113084,History
0374113084,"Relations with womenLouis , 1710-1774"
0374113084,"Pompadour, Jeanne Antoinette Poisson , 1721-1764"
0374113084,Kings and rulers--Mistresses
0374113084,DC135.P8 L4313 2002X
0374113084,"Favorites, Royal"
0899193560,Mothers And Daughters
0899193560,Schools
0899193560,Journalism
0899193560,Teacher-student Relationships
0899193560,Fiction
0451455479,Magic
0451455479,Fiction
0451455479,Dragons
0930588479,Klamath women
0930588479,Klamath Indians
0930588479,Klamath Indians--Biography
0930588479,Klamath Indians--Social life and customs
0930588479,979.4/12
0930588479,"Thompson, Lucy , 1856-"
0930588479,E99.K7 T47 1991
1579547427,Acne
0140086668,Social life and customs
0140086668,PS3558.E47916 R4 1986
0140086668,813/.54
1891620614,Comparative advantage (International trade)
1891620614,Multiculturalism
1891620614,HB501 .Z23 2000
1891620614,382/.1042
1891620614,"Competition, International"
1891620614,Capitalism--Social aspects
0684837188,Science--History
0684837188,"History, Ancient"
0684837188,509.3
0684837188,Science--history
0684837188,Q 124.95 T316L 2002
0684837188,"Science, Ancient"
0684837188,Q124.95 .T47 2002
156170315X,Christian
156170315X,Meditations
157748083X,Holidays - Fiction
0805051066,Environmental conditions
0805051066,Social problems
0805051066,Social problems--California--Los Angeles
0805051066,Disasters--California--Los Angeles
0805051066,Disasters
0805051066,Social conditions
0805051066,HN80.L7 D37 1998
0805051066,303.48/5/0979494
0886775256,Psychological Fiction
074347628X,Romance
074347628X,Fiction Subjects
0192824058,City And Town Life
0192824058,In Literature
0192824058,City And Town Life In Literature
0192824058,Social Life And Customs
0192824058,Fiction
0140547452,Children's Fiction
0140547452,Animals
0064471047,British and irish fiction (fictional works by one author)
0064471047,Leones
0064471047,Fantasy & Magic
0064471047,Action & Adventure
0064471047,christianity
0064471047,"Children's stories, English"
0064471047,Bien y mal
0064471047,Children
0064471047,Novela fantástica
0064471047,English Christian fiction
0064471047,English Children's stories
0064471047,open_syllabus_project
0064471047,Fiction
0064471047,Classics
0064471047,Winter
0064471047,Good and evil
0064471047,Fantasy
0064471047,Lion
0064471047,Aslan the Lion (Fictitious character)
0064471047,JUVENILE FICTION / Action & Adventure
0064471047,Narnia (Imaginary place)
0064471047,juvenile works
0064471047,Witches
0064471047,Open Library Staff Picks
0064471047,JUVENILE FICTION / Classics
0064471047,"Narnia (imaginary place), fiction"
0064471047,Animals
0064471047,Children's fiction
0064471047,Child and youth fiction
0064471047,Narnia (Lugar imaginario)
0064471047,"Adventure and adventurers, fiction"
0064471047,"Lion, fiction"
0064471047,Translations from English
0064471047,Fairy tales
0064471047,"Children's literature, study and teaching"
0064471047,Friendship
0064471047,JUVENILE FICTION / Fantasy & Magic
0064471047,fauns
0064471047,lions
0064471047,Spanish language materials
0064471047,Turkish Delight
0064471047,"Witches, fiction"
0064471047,Magic
0064471047,siblings
0064471047,Fantasy fiction
0064471047,the Blitz
0064471047,Ficción juvenil
0064471047,Juvenile fiction
0064471047,English Fantasy fiction
0064471047,Science Fiction & Fantasy
0064471047,Brujas
0064471047,Large type books
031215125X,Fiction
031215125X,Peoples & Cultures - Fiction
0689820739,High Schools
0689820739,Friendship
0689820739,Mothers And Daughters
0689820739,Murder
0689820739,Schools
0761964401,Social sciences--Computer network resources
0761964401,Internet searching
0761964401,Internet research
0761964401,Social sciences--Research
0761964401,ZA4228 .O3 2002
0761964401,300.2854678072
014043769X,General
014043769X,Children's Fiction
0809311100,PN1661 .B34 1983
0809311100,808.2
0809311100,"TechniqueShakespeare, William , 1564-1616"
0809311100,"Shakespeare, William , 1564-1616"
0809311100,Drama--Technique
0809311100,Theater--Production and direction
0590846280,"Heroes, fiction"
0590846280,Cartoons and comics
0590846280,"Schools, fiction"
0590846280,Humorous stories
0590846280,Fiction
0590846280,Heroes
0590846280,School principals
0590846280,"Captain underpants (fictitious character), fiction"
0590846280,Children's fiction
0671748424,Cooking
0671748424,Social Life And Customs
0671748424,"Cooking, American"
0679416056,782.42166/092 B
0679416056,"Joplin, Janis"
0679416056,Rock musicians--United States--Biography
0679416056,Singers--United States--Biography
0679416056,ML420.J77 J6 1992
0679416056,Rock musicians
0679416056,Singers
156971858X,Comics & Graphic Novels - General & Miscellaneous
0525942688,Spiritualism
0525942688,133.9/1
0525942688,"Van Praagh, James"
0525942688,BF1283.V29 A3 1997
0525942688,Mediums
0525942688,Mediums--United States--Biography
0395929733,PS3525.A1772 C55 1998
0395929733,Race relations
0395929733,813/.52
0395929733,Social justice--Georgia--Fiction
0395929733,African Americans
0395929733,African Americans--Georgia--Fiction
0395929733,Death
0395929733,Social justice
0380781220,"Romance fiction, American"
0380781220,PS3573.O625 T529 1995
0380781220,813/.08508
052156669X,"Newton, Isaac , 1642-1727"
052156669X,Physicists
052156669X,QC16.N7 H35 1996
052156669X,Physicists--Great Britain--Biography
052156669X,509.2
1862074577,Intellectual life
1862074577,821
1862074577,PR6063.U735 Z468 2002
1862074577,"Poets, Irish"
1862074577,"Poets, Irish--20th century--Biography"
1862074577,"Murphy, Richard , 1927-2018"
0740718371,"American Wit And Humor, Pictorial"
0740718371,Dating (social Customs)
0740718371,Man-woman Relationships
014029791X,Self-realization
014029791X,Self-realization--Fiction
014029791X,Sisters
014029791X,Sisters--New Zealand--Fiction
014029791X,823.914
0385318227,Literary
0385318227,Fiction
0061064963,Science Fiction
0842319190,Prayer
0842319190,Prayer - Christianity
0140430539,Working class
0140430539,Textile industry--Fiction
0140430539,Trials (Murder)
0140430539,Trials (Murder)--Fiction
0140430539,Labor unions
0140430539,Labor unions--Fiction
0140430539,Poor families
0140430539,Working class--England--Manchester--Fiction
0140430539,Triangles (Interpersonal relations)
0140430539,Triangles (Interpersonal relations)--Fiction
0140430539,Poor families--Fiction
0140430539,Women
0140430539,Social life and customs
0140430539,Textile industry
0140430539,PR4710 .M3x 1985
0140430539,Women--England--Manchester--Fiction
0198761848,H97
0198761848,Political planning
0198761848,Political planning--Great Britain
0198761848,Policy sciences
087951616X,Literary Collections
087951616X,English
087951616X,Welsh
087951616X,Irish
087951616X,Scottish
0893463264,Commercial buildings--Design
0893463264,Feng shui
0571129285,PR1309.L68 L68 1992
0571129285,823/.085089287
0571129285,American fiction--Women authors
0571129285,"Romance fiction, American"
0571129285,"Romance fiction, English"
0571129285,English fiction
0571129285,American fiction--20th century
0571129285,English fiction--20th century
0571129285,American fiction
0571129285,English fiction--Women authors
0439426294,Inventions
0439426294,Detective And Mystery Stories
074343580X,Space Exploration - Fiction
0394589416,"Abortion, Legal"
0394589416,Abortion--Law and legislation
0394589416,Human Rights
0394589416,Abortion
0394589416,Right to Die
0394589416,"Abortion, Induced"
0394589416,KF9315 .D85 1993
0394589416,Euthanasia--Law and legislation
0394589416,344.73/0419 347.304419
0394589416,Euthanasia
0394589416,Euthanasia--Law and legislation--United States
0394589416,"Ethics, Medical"
0394589416,Euthanasia--legislation & jurisprudence
0394589416,Abortion--Law and legislation--United States
0394589416,Euthanasia--United States
0394589416,HQ 767 D993L 1993
0394589416,Human rights
0877853924,Gardens
0877853924,Religious Aspects
0877853924,Spiritual Biography
0877853924,Gardening
1558537449,Shipwrecks
1558537449,G525 .H77 1999
1558537449,910.4/52
0394754395,Sex role
0394754395,Writer's block
0394754395,Authorship--Sex differences
0394754395,African American women novelists--Fiction
0394754395,Social classes
0394754395,Authorship--Sex differences--Fiction
0394754395,African American novelists--Fiction
0394754395,Sex role--Fiction
0394754395,Social classes--Fiction
0394754395,PS3555.L617 P57 1988
0394754395,Fiction--Authorship--Fiction
0394754395,813/.54
0394754395,Writer's block--Fiction
0394754395,African American novelists
0394754395,African American women novelists
0394754395,Storytelling
0394754395,Storytelling--Fiction
0394754395,Fiction--Authorship
0393975096,PN6120.2 .N59 2000b
0393975096,Short stories
0393975096,808.83/1
031230997X,Fiction
0671794949,"AssassinationKennedy, John F. (John Fitzgerald) , 1917-1963"
0671794949,364.1/524
0671794949,E842.9 .C355 1993
0448420821,Cats & Cat Family
0448420821,Animals - General & Miscellaneous
0072126213,Protocols & Standards - Computer Networks
0072126213,LANs & WANs
0072126213,Wireless Networks & Bluetooth Technology
0517555875,Breads & Muffins
1566492017,Dental Students
1566492017,Young Men
1566492017,History
1566492017,Eccentrics And Eccentricities
074346754X,Literary Collections
038072572X,Coping & Healing
038072572X,Self-Improvement
067101918X,Safety & First Aid
067101918X,Pharmacology
067101918X,Aging Well & Rejuvenation
067101918X,Medications - Consumer Information
0394844874,Marine Animals
0394844874,Juvenile Literature
0792273737,Exploration
0312872003,Asteroids
0312872003,Collisions With Earth
0312872003,Restoration Ecology
0690016875,CT220 .H86 1978
0690016875,Professions
0690016875,920/.073
0690016875,Professions--United States
0393029638,Families
0393029638,Family
0393029638,Family psychotherapy--Methods
0393029638,Life Change Events
0393029638,616.89/156
0393029638,RC488.5 .R49 1991
0393029638,Familientherapie
0393029638,Thérapie familiale
0393029638,WM 430.5.F2 R454 1991
0393029638,Family psychotherapy
0393029638,Événements stressants de la vie--Aspect psychologique
